time,proto,src_mac,dst_mac,src_ip,sport,dst_ip,dport,seq,ack,device,datalength
2021-12-21 10:43:00.926103,TCP,86:5c:f3:86:87:d3,04:cf:8c:b4:c9:5b,118.26.252.224,443,192.168.137.130,50370,1698468473,23326,Yeelight_LED_Bulb_1,1211
2021-12-21 10:43:00.980274,TCP,04:cf:8c:b4:c9:5b,86:5c:f3:86:87:d3,192.168.137.130,50370,118.26.252.224,443,23326,1698468594,Yeelight_LED_Bulb_1,890
2021-12-21 10:43:01.186355,TCP,04:cf:8c:b4:c9:5b,86:5c:f3:86:87:d3,192.168.137.130,50370,118.26.252.224,443,23415,1698468594,Yeelight_LED_Bulb_1,1210
2021-12-21 10:43:01.336657,TCP,86:5c:f3:86:87:d3,04:cf:8c:b4:c9:5b,118.26.252.224,443,192.168.137.130,50370,1698468594,23536,Yeelight_LED_Bulb_1,891
