time,proto,src_mac,dst_mac,src_ip,sport,dst_ip,dport,seq,ack,device,datalength
2021-12-21 10:42:41.879512,TCP,86:5c:f3:86:87:d3,04:cf:8c:b4:c9:5b,118.26.252.224,443,192.168.137.130,50370,1698467843,22696,Yeelight_LED_Bulb_1,1211
2021-12-21 10:42:41.953871,TCP,04:cf:8c:b4:c9:5b,86:5c:f3:86:87:d3,192.168.137.130,50370,118.26.252.224,443,22696,1698467964,Yeelight_LED_Bulb_1,890
2021-12-21 10:42:42.171766,TCP,04:cf:8c:b4:c9:5b,86:5c:f3:86:87:d3,192.168.137.130,50370,118.26.252.224,443,22785,1698467964,Yeelight_LED_Bulb_1,1210
2021-12-21 10:42:42.218430,TCP,86:5c:f3:86:87:d3,04:cf:8c:b4:c9:5b,118.26.252.224,443,192.168.137.130,50370,1698467964,22906,Yeelight_LED_Bulb_1,891
